"Timestamp","Temperature_Celsius(°C)","Relative_Humidity(%)","Absolute_Humidity(g/m³)","DPT_Celsius(°C)","VPD(kPa)"
"2026-01-31 4:46:48 PM","16.7","61","8.7","9.1","0.74"
"2026-01-31 4:47:48 PM","17.4","57","8.4","8.8","0.85"
"2026-01-31 4:48:48 PM","18.1","54","8.3","8.6","0.96"
"2026-01-31 4:49:48 PM","18.5","53","8.4","8.7","1.00"
"2026-01-31 4:50:48 PM","18.9","52","8.4","8.8","1.05"
"2026-01-31 4:51:48 PM","19.2","51","8.4","8.8","1.09"
"2026-01-31 4:52:48 PM","19.4","50","8.3","8.7","1.13"
"2026-01-31 4:53:56 PM","19.4","50","8.3","8.7","1.13"
"2026-01-31 4:54:56 PM","19.4","50","8.3","8.7","1.13"
"2026-01-31 4:55:56 PM","19.4","49","8.2","8.4","1.15"
"2026-01-31 4:56:56 PM","19.4","48","8.0","8.1","1.17"
"2026-01-31 4:57:56 PM","19.4","47","7.8","7.8","1.19"
"2026-01-31 4:58:56 PM","19.4","47","7.8","7.8","1.19"
"2026-01-31 4:59:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:00:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:01:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:02:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:03:56 PM","19.5","46","7.7","7.6","1.22"
"2026-01-31 5:04:56 PM","19.5","46","7.7","7.6","1.22"
"2026-01-31 5:05:56 PM","19.5","46","7.7","7.6","1.22"
"2026-01-31 5:06:56 PM","19.5","46","7.7","7.6","1.22"
"2026-01-31 5:07:56 PM","19.5","46","7.7","7.6","1.22"
"2026-01-31 5:08:56 PM","19.5","46","7.7","7.6","1.22"
"2026-01-31 5:09:56 PM","19.5","46","7.7","7.6","1.22"
"2026-01-31 5:10:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:11:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:12:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:13:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:14:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:15:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:16:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:17:56 PM","19.5","47","7.9","7.9","1.20"
"2026-01-31 5:18:56 PM","19.4","48","8.0","8.1","1.17"
"2026-01-31 5:19:56 PM","19.4","48","8.0","8.1","1.17"
"2026-01-31 5:20:56 PM","19.4","48","8.0","8.1","1.17"
"2026-01-31 5:21:56 PM","19.4","48","8.0","8.1","1.17"
"2026-01-31 5:22:56 PM","19.4","48","8.0","8.1","1.17"
"2026-01-31 5:23:56 PM","19.4","48","8.0","8.1","1.17"
"2026-01-31 5:24:56 PM","19.4","48","8.0","8.1","1.17"
"2026-01-31 5:25:56 PM","19.4","48","8.0","8.1","1.17"
