Session_ID,Date,Start_Time,End_Time,Event_Type,Status,Start_Hum,End_Hum,Target_Min,Actual_Min,Actual_Hours,Daily_Cumulative_Hours,Notes
SYSTEM,2026-04-04,00:00:03,,FILE_RESTORED,,,,,,,,Rebuilt from RAM
1775256746,2026-04-04,00:52:26,...,SECONDARY_RUN,RUNNING,60,0,90,0,0,0.0,Started
1775256774,2026-04-04,00:52:54,02:24:12,SECONDARY_RUN,COMPLETED,60,61,90,91.28,1.5214,1.5214,Target Reached
1775271261,2026-04-04,04:54:21,...,SECONDARY_RUN,RUNNING,64,0,90,0,0,1.5214,Started
1775274536,2026-04-04,05:48:56,...,SECONDARY_RUN,RUNNING,64,0,90,0,0,1.5214,Started
1775274546,2026-04-04,05:49:06,...,SECONDARY_RUN,RUNNING,64,0,90,0,0,1.5214,Started
1775274556,2026-04-04,05:49:16,...,SECONDARY_RUN,RUNNING,64,0,90,0,0,1.5214,Started
1775274566,2026-04-04,05:49:26,...,SECONDARY_RUN,RUNNING,64,0,90,0,0,1.5214,Started
1775274576,2026-04-04,05:49:36,07:19:47,SECONDARY_RUN,COMPLETED,64,66,90,90.18,1.5029,3.0243,Target Reached
1775288987,2026-04-04,09:49:47,14:19:19,PRIMARY_RUN,DAILY_LIMIT_STOP,67,58,268,269.53,4.4922,12.0059,Max Daily Cap Reached
